SETTLEMENTDATE,DUID,SCADAVALUE
2026-03-17 00:00:00,ER01,598.36121
2026-03-17 00:00:00,ER02,679.97864
2026-03-17 00:00:00,ER03,678.88
2026-03-17 00:00:00,ER04,-2.30716
2026-03-17 00:00:00,ERB01,-69.5201
2026-03-17 00:00:00,ERGT01,0.0
2026-03-17 00:00:00,FINLYSF1,0.0
2026-03-17 00:00:00,FISHER,4.96
2026-03-17 00:00:00,FLYCRKWF,21.25
2026-03-17 00:00:00,GANGARR1,0.0
2026-03-17 00:00:00,GANNB1,-0.0704
2026-03-17 00:00:00,GANNSF1,0.0
2026-03-17 00:00:00,GB01,0.0
2026-03-17 00:00:00,GERMCRK,16.518
2026-03-17 00:00:00,GESF1,0.0
2026-03-17 00:00:00,GIRGSF,0.0
2026-03-17 00:00:00,GLENSF1,0.0
2026-03-17 00:00:00,GLRWNSF1,0.0
2026-03-17 00:00:00,GNNDHSF1,0.0
2026-03-17 00:00:00,GOESF1,0.0
2026-03-17 00:00:00,GOONSF1,0.0
2026-03-17 00:00:00,GORDON,223.38477
2026-03-17 00:00:00,GPWFEST1,0.0
2026-03-17 00:00:00,GPWFEST2,0.0
2026-03-17 00:00:00,GPWFEST3,0.0
2026-03-17 00:00:00,GPWFWST1,0.0
2026-03-17 00:00:00,GPWFWST2,0.0
2026-03-17 00:00:00,GRANWF1,0.01
2026-03-17 00:00:00,GREENB1,0.64634
2026-03-17 00:00:00,GRIFSF1,0.001526
2026-03-17 00:00:00,GSTONE1,0.0
2026-03-17 00:00:00,GSTONE2,149.97363
2026-03-17 00:00:00,GSTONE3,0.0
2026-03-17 00:00:00,GSTONE4,0.0
2026-03-17 00:00:00,GSTONE5,230.07715
2026-03-17 00:00:00,GSTONE6,257.01074
2026-03-17 00:00:00,GSWF1A,40.59
2026-03-17 00:00:00,GSWF1B1,13.28
2026-03-17 00:00:00,GULLRSF1,0.0
2026-03-17 00:00:00,GULLRWF1,21.34468
2026-03-17 00:00:00,GULLRWF2,2.67875
2026-03-17 00:00:00,GUNNING1,0.38517
2026-03-17 00:00:00,GUSF1,0.0
2026-03-17 00:00:00,GUTHEGA,30.7
2026-03-17 00:00:00,HALLWF1,28.27
2026-03-17 00:00:00,HALLWF2,12.4
2026-03-17 00:00:00,HAMISF1,0.0
2026-03-17 00:00:00,HAUGHT11,0.0
2026-03-17 00:00:00,HAYMSF1,0.0
2026-03-17 00:00:00,HBESS1,-0.3
2026-03-17 00:00:00,HD1WF1,6.27
2026-03-17 00:00:00,HDWF1,21.1
2026-03-17 00:00:00,HDWF2,19.9
2026-03-17 00:00:00,HDWF3,20.5
2026-03-17 00:00:00,HEZ1,0.0
2026-03-17 00:00:00,HILLSTN1,0.0
2026-03-17 00:00:00,HPR1,0.1
2026-03-17 00:00:00,HUGSF1,-0.1
2026-03-17 00:00:00,HUMENSW,0.0
2026-03-17 00:00:00,HUMEV,11.5
2026-03-17 00:00:00,HUNTER1,0.0
2026-03-17 00:00:00,HUNTER2,0.0
2026-03-17 00:00:00,HVWWBA1,0.007
2026-03-17 00:00:00,HVWWPV1,0.0
2026-03-17 00:00:00,JBUTTERS,99.83443
2026-03-17 00:00:00,JEMALNG1,0.0
2026-03-17 00:00:00,JLA01,0.0
2026-03-17 00:00:00,JLA02,0.0
2026-03-17 00:00:00,JLA03,0.0
2026-03-17 00:00:00,JLA04,0.0
2026-03-17 00:00:00,JLB01,0.0
2026-03-17 00:00:00,JLB02,0.0
2026-03-17 00:00:00,JLB03,0.0
2026-03-17 00:00:00,JUNEESF1,0.0
2026-03-17 00:00:00,KABANWF1,70.204
2026-03-17 00:00:00,KAREEYA1,21.57
2026-03-17 00:00:00,KAREEYA2,21.545
2026-03-17 00:00:00,KAREEYA3,21.525
2026-03-17 00:00:00,KAREEYA4,21.5625
2026-03-17 00:00:00,KARSF1,0.0
2026-03-17 00:00:00,KEPBG1,0.0
2026-03-17 00:00:00,KEPSF1,0.0
2026-03-17 00:00:00,KEPWF1,27.0
2026-03-17 00:00:00,KERNGSP1,0.0
2026-03-17 00:00:00,KESSB1,0.0
2026-03-17 00:00:00,KIAMSF1,0.0
2026-03-17 00:00:00,KIATAWF1,1.1
2026-03-17 00:00:00,KIDSPHG1,0.0
2026-03-17 00:00:00,KIDSPHG2,0.0
2026-03-17 00:00:00,KIDSPHL1,0.0
2026-03-17 00:00:00,KIDSPHL2,0.0
2026-03-17 00:00:00,KINGASF1,0.0
2026-03-17 00:00:00,KPP_1,367.51752
2026-03-17 00:00:00,KSP1,0.0
2026-03-17 00:00:00,LADBROK1,0.01
2026-03-17 00:00:00,LADBROK2,39.82
2026-03-17 00:00:00,LANCSF1,0.0
2026-03-17 00:00:00,LBB1,0.9
2026-03-17 00:00:00,LDBESS1,-1.08721
2026-03-17 00:00:00,LEM_WIL,0.0
2026-03-17 00:00:00,LGAPBS1,0.0
2026-03-17 00:00:00,LGAPWF1,0.26
2026-03-17 00:00:00,LGAPWF2,0.0
2026-03-17 00:00:00,LILYSF1,0.0
2026-03-17 00:00:00,LIMBESS1,0.0
2026-03-17 00:00:00,LIMOSF11,2.16022
2026-03-17 00:00:00,LIMOSF21,0.0
2026-03-17 00:00:00,LI_WY_CA,57.96026
2026-03-17 00:00:00,LKBONNY1,0.62517
2026-03-17 00:00:00,LKBONNY2,1.36752
2026-03-17 00:00:00,LKBONNY3,0.89315
2026-03-17 00:00:00,LK_ECHO,0.0
2026-03-17 00:00:00,LNGS1,0.0
2026-03-17 00:00:00,LNGS2,0.0
2026-03-17 00:00:00,LONSDALE,0.0
2026-03-17 00:00:00,LOYYB1,573.75
2026-03-17 00:00:00,LOYYB2,580.5
2026-03-17 00:00:00,LRSF1,0.0
2026-03-17 00:00:00,LVES1,0.0
2026-03-17 00:00:00,LYA1,559.0
2026-03-17 00:00:00,LYA2,0.0
