DUID,Unit Name,Technology Type,Region,Dispatch Type,source
RT_TAS1,RT Solar TAS,Solar PV,TAS1,Non-scheduled,manual_fallback
RT_VIC1,RT Solar VIC 1,Solar PV,VIC1,Non-scheduled,manual_fallback
RT_VIC10,RT Solar VIC 10,Solar PV,VIC1,Non-scheduled,manual_fallback
RT_VIC11,RT Solar VIC 11,Solar PV,VIC1,Non-scheduled,manual_fallback
RT_VIC12,RT Solar VIC 12,Solar PV,VIC1,Non-scheduled,manual_fallback
RT_VIC2,RT Solar VIC 2,Solar PV,VIC1,Non-scheduled,manual_fallback
RT_VIC3,RT Solar VIC 3,Solar PV,VIC1,Non-scheduled,manual_fallback
RT_VIC4,RT Solar VIC 4,Solar PV,VIC1,Non-scheduled,manual_fallback
RT_VIC5,RT Solar VIC 5,Solar PV,VIC1,Non-scheduled,manual_fallback
RT_VIC6,RT Solar VIC 6,Solar PV,VIC1,Non-scheduled,manual_fallback
RT_VIC7,RT Solar VIC 7,Solar PV,VIC1,Non-scheduled,manual_fallback
RT_VIC8,RT Solar VIC 8,Solar PV,VIC1,Non-scheduled,manual_fallback
RT_VIC9,RT Solar VIC 9,Solar PV,VIC1,Non-scheduled,manual_fallback
RUBICON,Rubicon Mountain Streams:1-5,Hydro,VIC1,Non-scheduled,AEMO Gen Info
RUGBYR1,Rugby Run Solar Farm:1,Solar PV,QLD1,Semi-scheduled,AEMO Gen Info
RYANCWF1,Ryan Corner Wind Farm,Wind,VIC1,Semi-scheduled,AEMO Gen Info
RYEPARK1,RPWF_GU1,Wind,NSW1,Semi-scheduled,AEMO Gen Info
SALTCRK1,Salt Creek Wind Farm:1 - 15,Wind,VIC1,Semi-scheduled,AEMO Gen Info
SAPHWF1,Sapphire Wind Farm:75,Wind,NSW1,Semi-scheduled,AEMO Gen Info
SEBSF1,Sebastopol Solar Farm,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
SHEP1,Shepparton Wastewater Treatment Facility:1,Gas Turbine,VIC1,Non-scheduled,AEMO Gen Info
SHGEN,Shoalhaven:1,Hydro,NSW1,Scheduled,AEMO Gen Info
SHOAL1,Shoalhaven,Hydro,NSW1,Scheduled,manual_fallback
SHPUMP,Shoalhaven Pump,Hydro,NSW1,Scheduled,manual_fallback
SITHE01,Smithfield Energy Facility:1,Gas Turbine,NSW1,Scheduled,AEMO Gen Info
SKSF1,South Keswick Solar Farm:Solar Panels,Solar PV,NSW1,Non-scheduled,AEMO Gen Info
SMCSF1,SMCSF1,Solar PV,QLD1,Semi-scheduled,AEMO Gen Info
SMTHBES1,SmithBes,Battery Storage,NSW1,Scheduled,AEMO Gen Info
SNAPPER1,Snap 1,Gas Turbine,SA1,Scheduled,AEMO Gen Info
SNB01,SNB01,Battery Storage,QLD1,Scheduled,AEMO Gen Info
SNB02,SNB02,Battery Storage,QLD1,Scheduled,AEMO Gen Info
SNB05,SNB05,Battery Storage,QLD1,Scheduled,AEMO Gen Info
SNOWNTH1,Snowtown S2 Wind Farm:1-48,Wind,SA1,Semi-scheduled,AEMO Gen Info
SNOWSTH1,Snowtown S2 Wind Farm:1-42,Wind,SA1,Semi-scheduled,AEMO Gen Info
SNOWTWN1,Snowtown Wind Farm:1-47,Wind,SA1,Semi-scheduled,AEMO Gen Info
SNOWYP,Snowy Pump Load,Hydro,NSW1,Scheduled,manual_fallback
SNUG1,Snugger1,Gas Turbine,SA1,Scheduled,AEMO Gen Info
SNUGNL1,SnugNMNS,Gas Turbine,SA1,Non-scheduled,AEMO Gen Info
SRSF1,SRSF1,Solar PV,QLD1,Semi-scheduled,AEMO Gen Info
STAN-1,Stanwell:1,Coal,QLD1,Scheduled,AEMO Gen Info
STAN-2,Stanwell:2,Coal,QLD1,Scheduled,AEMO Gen Info
STAN-3,Stanwell:3,Coal,QLD1,Scheduled,AEMO Gen Info
STAN-4,Stanwell:4,Coal,QLD1,Scheduled,AEMO Gen Info
STARHLWF,Starfish Hill:1-22,Wind,SA1,Significant Non-scheduled,AEMO Gen Info
STOCKYD1,STOCKYD3.0,Wind,VIC1,Semi-scheduled,AEMO Gen Info
STUBSF1,Stubbo,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
STUBSF2,Stubbo_2,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
STWF1,Silverton Wind Farm:1-58,Wind,NSW1,Semi-scheduled,AEMO Gen Info
SUNRSF1,SUNRSF1,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
SUNTPSF1,Suntop Solar Farm,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
SWANBBF1,SBS_GU1,Battery Storage,QLD1,Scheduled,AEMO Gen Info
SWAN_E,Swanbank E GT:1,Gas Turbine,QLD1,Scheduled,AEMO Gen Info
TAHMOOR,Tahmoor:1-7,Gas Turbine,NSW1,Non-scheduled,AEMO Gen Info
TALWA1,Tallawarra A Unit 1,Gas Turbine,NSW1,Scheduled,AEMO Gen Info
TALWB1,Tallawarra B Unit 1,Gas Turbine,NSW1,Scheduled,AEMO Gen Info
TARALGA1,Taralga Wind Farm:1 - 21,Wind,NSW1,Semi-scheduled,AEMO Gen Info
TARBESS1,TARBESS1,Battery Storage,QLD1,Scheduled,AEMO Gen Info
TARONG#1,Tarong:1,Coal,QLD1,Scheduled,AEMO Gen Info
TARONG#2,Tarong:2,Coal,QLD1,Scheduled,AEMO Gen Info
TARONG#3,Tarong:3,Coal,QLD1,Scheduled,AEMO Gen Info
TARONG#4,Tarong:4,Coal,QLD1,Scheduled,AEMO Gen Info
TARRALEA,Tarraleah:1,Hydro,TAS1,Scheduled,AEMO Gen Info
TATIARA1,Tatiara Meats:1,Gas Turbine,SA1,Non-scheduled,AEMO Gen Info
TATURA01,Tatura Biomass Generator,Gas Turbine,VIC1,Non-scheduled,AEMO Gen Info
TB2B1,TBBP,Battery Storage,SA1,Scheduled,AEMO Gen Info
TB2SF1,Tailem Bend Stage 2 Solar Project:Units 1 to x,Solar PV,SA1,Semi-scheduled,AEMO Gen Info
TBSF1,Tailem Bend - Solar:1,Solar PV,SA1,Semi-scheduled,AEMO Gen Info
TEMPB1,Templers,Battery Storage,SA1,Scheduled,AEMO Gen Info
TGNSS1,TNPS_GU1,Gas Turbine,VIC1,Non-scheduled,AEMO Gen Info
THEDROP1,The Drop:station,Hydro,NSW1,Non-scheduled,AEMO Gen Info
TIB1,TIPSBESS,Battery Storage,SA1,Scheduled,AEMO Gen Info
TIMWEST,Timboon West Wind Farm:2,Wind,VIC1,Non-scheduled,AEMO Gen Info
TITREE,Ti Tree Bioenergy:1-3,Gas Turbine,QLD1,Non-scheduled,AEMO Gen Info
TNPS1,Tarong North:1,Coal,QLD1,Scheduled,AEMO Gen Info
TOORAWF,Toora:1-12,Wind,VIC1,Non-scheduled,AEMO Gen Info
TORRB1,Torrens Island B:1,Gas Turbine,SA1,Scheduled,AEMO Gen Info
TORRB2,Torrens Island B:2,Gas Turbine,SA1,Scheduled,AEMO Gen Info
TORRB3,Torrens Island B:3,Gas Turbine,SA1,Scheduled,AEMO Gen Info
TORRB4,Torrens Island B:4,Gas Turbine,SA1,Scheduled,AEMO Gen Info
TOWER,Tower:1-40,Other,NSW1,Non-scheduled,AEMO Gen Info
TREVALLN,Trevallyn:1,Hydro,TAS1,Scheduled,AEMO Gen Info
TRGBESS,TBS_GU1,Battery Storage,VIC1,Scheduled,AEMO Gen Info
TRGBESS1,Torrens Island BESS,Battery Storage,SA1,Scheduled,manual_fallback
TRIBUTE,Tribute:1,Hydro,TAS1,Scheduled,AEMO Gen Info
TULLYSM1,TSMPS_GU,Gas Turbine,QLD1,Non-scheduled,AEMO Gen Info
TUMUT3,Tumut 3:1,Hydro,NSW1,Scheduled,AEMO Gen Info
TUNGATIN,Tungatinah:1,Hydro,TAS1,Scheduled,AEMO Gen Info
TVCC201,Tamar Valley Combined Cycle:1,Gas Turbine,TAS1,Scheduled,AEMO Gen Info
TVPP104,Tamar Valley Peaking:1,Gas Turbine,TAS1,Scheduled,AEMO Gen Info
TieriBESS1,TieriBES,Battery Storage,QLD1,Scheduled,AEMO Gen Info
ULPBESS1,ULINDAB1,Battery Storage,QLD1,Scheduled,AEMO Gen Info
UPPTUMUT,Upper Tumut:1,Hydro,NSW1,Scheduled,AEMO Gen Info
URANQ11,Uranquinty:1,Gas Turbine,NSW1,Scheduled,AEMO Gen Info
URANQ12,Uranquinty:2,Gas Turbine,NSW1,Scheduled,AEMO Gen Info
URANQ13,Uranquinty:3,Gas Turbine,NSW1,Scheduled,AEMO Gen Info
URANQ14,Uranquinty:4,Gas Turbine,NSW1,Scheduled,AEMO Gen Info
VALDORA1,VSF_GU1,Solar PV,QLD1,Non-scheduled,AEMO Gen Info
VBB1,BESS,Battery Storage,VIC1,Scheduled,AEMO Gen Info
VP5,Vales Point B:5,Coal,NSW1,Scheduled,AEMO Gen Info
VP6,Vales Point B:6,Coal,NSW1,Scheduled,AEMO Gen Info
VPGS1,VPGS1,Gas Turbine,VIC1,Scheduled,AEMO Gen Info
VPGS2,VPGS2,Gas Turbine,VIC1,Scheduled,AEMO Gen Info
VPGS3,VPGS3,Gas Turbine,VIC1,Scheduled,AEMO Gen Info
VPGS4,VPGS4,Gas Turbine,VIC1,Scheduled,AEMO Gen Info
VPGS5,VPGS5,Gas Turbine,VIC1,Scheduled,AEMO Gen Info
VPGS6,VPGS6,Gas Turbine,VIC1,Scheduled,AEMO Gen Info
W/HOE#1,Wivenhoe:1,Hydro,QLD1,Scheduled,AEMO Gen Info
W/HOE#2,Wivenhoe:2,Hydro,QLD1,Scheduled,AEMO Gen Info
WAGGNSF1,WNS23-34,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
WALGRV1,WLGBESS1,Battery Storage,NSW1,Scheduled,AEMO Gen Info
WAMBOWF1,WFWGU1,Wind,QLD1,Semi-scheduled,AEMO Gen Info
WANDB1,WSBESS1,Battery Storage,QLD1,Scheduled,AEMO Gen Info
WANDSF1,WSSP,Solar PV,QLD1,Semi-scheduled,AEMO Gen Info
WARWSF1,WARWSF1,Solar PV,QLD1,Semi-scheduled,AEMO Gen Info
WARWSF2,WARWSF2,Solar PV,QLD1,Semi-scheduled,AEMO Gen Info
WATERLWF,Waterloo Wind Farm:1-37,Wind,SA1,Semi-scheduled,AEMO Gen Info
WAUBRAWF,Waubra:1-15,Wind,VIC1,Significant Non-scheduled,AEMO Gen Info
WDBESS1,WDBESS1,Battery Storage,QLD1,Scheduled,AEMO Gen Info
WDBESS2,WDBESS2,Battery Storage,QLD1,Scheduled,AEMO Gen Info
WDGPH1,WDGPH,Solar PV,QLD1,Semi-scheduled,AEMO Gen Info
WDLNGN01,Woodlawn Bioreactor Energy Generation:1-7,Other,NSW1,Non-scheduled,AEMO Gen Info
WELLSF1,WELLSF1,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
WELNSF1,WELNTH,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
WEMENSF1,Wemen Solar Farm:Wemen Solar Farm 1 - 39,Solar PV,VIC1,Semi-scheduled,AEMO Gen Info
WESTILL1,WILC1,Gas Turbine,NSW1,Non-scheduled,AEMO Gen Info
WGWF1,WGW26-32,Wind,SA1,Semi-scheduled,AEMO Gen Info
WHILL1,Windy Hill:1-20,Wind,QLD1,Non-scheduled,AEMO Gen Info
WHIT1,GM1,Gas Turbine,QLD1,Non-scheduled,AEMO Gen Info
WHITSF1,WSF:1-23,Solar PV,QLD1,Semi-scheduled,AEMO Gen Info
WILLHOV1,WILLHOV1,Hydro,VIC1,Non-scheduled,AEMO Gen Info
WINTSF1,Winton Solar Farm:1,Solar PV,VIC1,Semi-scheduled,AEMO Gen Info
WKIEWA1,WKIEWA1a,Hydro,VIC1,Scheduled,AEMO Gen Info
WKIEWA2,WKIEWA2a,Hydro,VIC1,Scheduled,AEMO Gen Info
WLWLSF1,WLWLSF1,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
WLWLSF2,WLWLSF2,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
WNSF1,Walla Walla North Solar,Solar PV,NSW1,Semi-scheduled,manual_fallback
WOLARSF1,Wollar,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
WONWP,Wonthaggi Wind Farm:1-6,Wind,VIC1,Non-scheduled,AEMO Gen Info
WOODLWN1,Woodlawn Wind Farm:Turbines 1-23,Wind,NSW1,Semi-scheduled,AEMO Gen Info
WOOLGSF1,Woolooga Solar Farm,Solar PV,QLD1,Semi-scheduled,AEMO Gen Info
WOOLNTH1,Woolnorth Studland Bay / Bluff Point:Bluff Point 1,Wind,TAS1,Significant Non-scheduled,AEMO Gen Info
WPWF,Wattle Point:1-55,Wind,SA1,Significant Non-scheduled,AEMO Gen Info
WRSF1,WRWSF1,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
WRWF1,White Rock Wind Farm - Stage 1:Stage 1 committed 1,Wind,NSW1,Semi-scheduled,AEMO Gen Info
WSTWYSF1,WWSFPV,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
WTAHB1,WSB_G1,Battery Storage,NSW1,Scheduled,AEMO Gen Info
WUNUSF1,WUNUSF,Solar PV,VIC1,Semi-scheduled,AEMO Gen Info
WYANGALA,Wyangala A:1,Hydro,NSW1,Non-scheduled,AEMO Gen Info
WYANGALB,Wyangala B:1,Hydro,NSW1,Non-scheduled,AEMO Gen Info
WYASF1,WYASF,Solar PV,NSW1,Semi-scheduled,AEMO Gen Info
YABULU,Yabulu,Gas Turbine,QLD1,Scheduled,AEMO Gen Info
YABULU2,Yabulu2,Gas Turbine,QLD1,Scheduled,AEMO Gen Info
YAMBUKWF,Yambuk:1-20,Wind,VIC1,Significant Non-scheduled,AEMO Gen Info
YARANSF1,YARANSF,Solar PV,QLD1,Semi-scheduled,AEMO Gen Info
YARWUN_1,Yarwun 1:1,Gas Turbine,QLD1,Significant Non-scheduled,AEMO Gen Info
YATSF1,YAT 2750EV,Solar PV,VIC1,Semi-scheduled,AEMO Gen Info
YAWWF1,Yawong Wind Farm:2,Wind,VIC1,Non-scheduled,AEMO Gen Info
YENDWF1,Lal Lal Wind Energy Facility - Yendon end:1-38,Wind,VIC1,Semi-scheduled,AEMO Gen Info
YSWF1,Yaloak South Wind Farm:Units 1-14,Wind,VIC1,Significant Non-scheduled,AEMO Gen Info
YWNGAHYD,Yarrawonga:1-2,Hydro,VIC1,Non-scheduled,AEMO Gen Info
YWPS1,Yallourn W Unit 1,Coal,VIC1,Scheduled,AEMO Gen Info
YWPS2,Yallourn W Unit 2,Coal,VIC1,Scheduled,AEMO Gen Info
YWPS3,Yallourn W Unit 3,Coal,VIC1,Scheduled,AEMO Gen Info
YWPS4,Yallourn W Unit 4,Coal,VIC1,Scheduled,AEMO Gen Info
